Term_ID	Term_name	Map_ID
mmu04310	Wnt signaling pathway	map04310
mmu04330	Notch signaling pathway	map04330
mmu04340	Hedgehog signaling pathway	map04340
mmu04350	TGF-beta signaling pathway	map04350
mmu04390	Hippo signaling pathway	map04390
mmu04392	Hippo signaling pathway - multiple species	map04392
mmu04370	VEGF signaling pathway	map04370
mmu04371	Apelin signaling pathway	map04371
mmu04630	JAK-STAT signaling pathway	map04630
mmu04064	NF-kappa B signaling pathway	map04064
mmu04668	TNF signaling pathway	map04668
mmu04066	HIF-1 signaling pathway	map04066
mmu04068	FoxO signaling pathway	map04068
mmu04020	Calcium signaling pathway	map04020
mmu04070	Phosphatidylinositol signaling system	map04070
mmu04072	Phospholipase D signaling pathway	map04072
mmu04071	Sphingolipid signaling pathway	map04071
mmu04024	cAMP signaling pathway	map04024
mmu04022	cGMP-PKG signaling pathway	map04022
mmu04151	PI3K-Akt signaling pathway	map04151
mmu04152	AMPK signaling pathway	map04152
mmu04150	mTOR signaling pathway	map04150
mmu04080	Neuroactive ligand-receptor interaction	map04080
mmu04082	Neuroactive ligand signaling	map04082
mmu04081	Hormone signaling	map04081
mmu04060	Cytokine-cytokine receptor interaction	map04060
mmu04061	Viral protein interaction with cytokine and cytokine receptor	map04061
mmu04512	ECM-receptor interaction	map04512
mmu04514	Cell adhesion molecule (CAM) interaction	map04514
mmu04517	IgSF CAM signaling	map04517
mmu04518	Integrin signaling	map04518
mmu04519	Cadherin signaling	map04519
mmu04144	Endocytosis	map04144
mmu04145	Phagocytosis	map04145
mmu04142	Lysosome biogenesis	map04142
mmu04146	Peroxisome	map04146
mmu04140	Autophagy - animal	map04140
mmu04136	Autophagy - other	map04136
mmu04137	Mitophagy - animal	map04137
mmu04148	Efferocytosis	map04148
mmu04110	Cell cycle	map04110
mmu04114	Oocyte meiosis	map04114
mmu04210	Apoptosis	map04210
mmu04215	Apoptosis - multiple species	map04215
mmu04216	Ferroptosis	map04216
mmu04217	Necroptosis	map04217
mmu04115	p53 signaling pathway	map04115
mmu04218	Cellular senescence	map04218
mmu04156	Integrated stress response (ISR) signaling pathway	map04156
mmu04510	Focal adhesion	map04510
mmu04520	Adherens junction	map04520
mmu04530	Tight junction	map04530
mmu04540	Gap junction	map04540
mmu04550	Signaling pathways regulating pluripotency of stem cells	map04550
mmu04814	Motor proteins	map04814
mmu04820	Cytoskeleton in muscle cells	map04820
mmu04810	Regulation of actin cytoskeleton	map04810
mmu04640	Hematopoietic cell lineage	map04640
mmu04610	Complement and coagulation cascades	map04610
mmu04611	Platelet activation	map04611
mmu04613	Neutrophil extracellular trap formation	map04613
mmu04620	Toll-like receptor signaling pathway	map04620
mmu04621	NOD-like receptor signaling pathway	map04621
mmu04622	RIG-I-like receptor signaling pathway	map04622
mmu04623	Cytosolic DNA-sensing pathway	map04623
mmu04625	C-type lectin receptor signaling pathway	map04625
mmu04650	Natural killer cell mediated cytotoxicity	map04650
mmu04612	Antigen processing and presentation	map04612
mmu04660	T cell receptor signaling pathway	map04660
mmu04658	Th1 and Th2 cell differentiation	map04658
mmu04659	Th17 cell differentiation	map04659
mmu04657	IL-17 signaling pathway	map04657
mmu04662	B cell receptor signaling pathway	map04662
mmu04664	Fc epsilon RI signaling pathway	map04664
mmu04666	Fc gamma R-mediated phagosome formation	map04666
mmu04670	Leukocyte transendothelial migration	map04670
mmu04672	Intestinal immune network for IgA production	map04672
mmu04062	Chemokine signaling pathway	map04062
mmu04911	Insulin secretion	map04911
mmu04910	Insulin signaling pathway	map04910
mmu04922	Glucagon signaling pathway	map04922
mmu04923	Regulation of lipolysis in adipocytes	map04923
mmu04920	Adipocytokine signaling pathway	map04920
mmu03320	PPAR signaling pathway	map03320
mmu04929	GnRH secretion	map04929
mmu04912	GnRH signaling pathway	map04912
mmu04913	Ovarian steroidogenesis	map04913
mmu04915	Estrogen signaling pathway	map04915
mmu04914	Progesterone-mediated oocyte maturation	map04914
