Feature_ID	Term_ID	Term_name
C20769	mmu00541	Biosynthesis of various nucleotide sugars
C20774	mmu00541	Biosynthesis of various nucleotide sugars
C20934	mmu00541	Biosynthesis of various nucleotide sugars
C21383	mmu00541	Biosynthesis of various nucleotide sugars
C21384	mmu00541	Biosynthesis of various nucleotide sugars
C22245	mmu00541	Biosynthesis of various nucleotide sugars
C22246	mmu00541	Biosynthesis of various nucleotide sugars
C22247	mmu00541	Biosynthesis of various nucleotide sugars
C22248	mmu00541	Biosynthesis of various nucleotide sugars
C22249	mmu00541	Biosynthesis of various nucleotide sugars
C22250	mmu00541	Biosynthesis of various nucleotide sugars
C22251	mmu00541	Biosynthesis of various nucleotide sugars
C22252	mmu00541	Biosynthesis of various nucleotide sugars
C22253	mmu00541	Biosynthesis of various nucleotide sugars
C22254	mmu00541	Biosynthesis of various nucleotide sugars
C22255	mmu00541	Biosynthesis of various nucleotide sugars
C22256	mmu00541	Biosynthesis of various nucleotide sugars
C22257	mmu00541	Biosynthesis of various nucleotide sugars
C22261	mmu00541	Biosynthesis of various nucleotide sugars
C22262	mmu00541	Biosynthesis of various nucleotide sugars
C22270	mmu00541	Biosynthesis of various nucleotide sugars
C22276	mmu00541	Biosynthesis of various nucleotide sugars
C22397	mmu00541	Biosynthesis of various nucleotide sugars
C22575	mmu00541	Biosynthesis of various nucleotide sugars
C22576	mmu00541	Biosynthesis of various nucleotide sugars
C22938	mmu00541	Biosynthesis of various nucleotide sugars
C22973	mmu00541	Biosynthesis of various nucleotide sugars
C00029	mmu00561	Glycerolipid metabolism
C00040	mmu00561	Glycerolipid metabolism
C00093	mmu00561	Glycerolipid metabolism
C00103	mmu00561	Glycerolipid metabolism
C00111	mmu00561	Glycerolipid metabolism
C00116	mmu00561	Glycerolipid metabolism
C00162	mmu00561	Glycerolipid metabolism
C00173	mmu00561	Glycerolipid metabolism
C00184	mmu00561	Glycerolipid metabolism
C00197	mmu00561	Glycerolipid metabolism
C00258	mmu00561	Glycerolipid metabolism
C00416	mmu00561	Glycerolipid metabolism
C00422	mmu00561	Glycerolipid metabolism
C00577	mmu00561	Glycerolipid metabolism
C00631	mmu00561	Glycerolipid metabolism
C00641	mmu00561	Glycerolipid metabolism
C00681	mmu00561	Glycerolipid metabolism
C00969	mmu00561	Glycerolipid metabolism
C01885	mmu00561	Glycerolipid metabolism
C02133	mmu00561	Glycerolipid metabolism
C02457	mmu00561	Glycerolipid metabolism
C03692	mmu00561	Glycerolipid metabolism
C04046	mmu00561	Glycerolipid metabolism
C04315	mmu00561	Glycerolipid metabolism
C04872	mmu00561	Glycerolipid metabolism
C05401	mmu00561	Glycerolipid metabolism
C06037	mmu00561	Glycerolipid metabolism
C06038	mmu00561	Glycerolipid metabolism
C06040	mmu00561	Glycerolipid metabolism
C06041	mmu00561	Glycerolipid metabolism
C06042	mmu00561	Glycerolipid metabolism
C06364	mmu00561	Glycerolipid metabolism
C06365	mmu00561	Glycerolipid metabolism
C11521	mmu00561	Glycerolipid metabolism
C13508	mmu00561	Glycerolipid metabolism
C20897	mmu00561	Glycerolipid metabolism
C20898	mmu00561	Glycerolipid metabolism
C20991	mmu00561	Glycerolipid metabolism
C00024	mmu00562	Inositol phosphate metabolism
C00092	mmu00562	Inositol phosphate metabolism
C00111	mmu00562	Inositol phosphate metabolism
C00118	mmu00562	Inositol phosphate metabolism
C00137	mmu00562	Inositol phosphate metabolism
C00191	mmu00562	Inositol phosphate metabolism
C00222	mmu00562	Inositol phosphate metabolism
C00558	mmu00562	Inositol phosphate metabolism
C00641	mmu00562	Inositol phosphate metabolism
C00691	mmu00562	Inositol phosphate metabolism
C01177	mmu00562	Inositol phosphate metabolism
C01194	mmu00562	Inositol phosphate metabolism
C01204	mmu00562	Inositol phosphate metabolism
C01220	mmu00562	Inositol phosphate metabolism
C01243	mmu00562	Inositol phosphate metabolism
C01245	mmu00562	Inositol phosphate metabolism
C01272	mmu00562	Inositol phosphate metabolism
C01277	mmu00562	Inositol phosphate metabolism
C01284	mmu00562	Inositol phosphate metabolism
C03546	mmu00562	Inositol phosphate metabolism
C03659	mmu00562	Inositol phosphate metabolism
C03660	mmu00562	Inositol phosphate metabolism
C04006	mmu00562	Inositol phosphate metabolism
C04062	mmu00562	Inositol phosphate metabolism
C04063	mmu00562	Inositol phosphate metabolism
C04287	mmu00562	Inositol phosphate metabolism
C04477	mmu00562	Inositol phosphate metabolism
C04520	mmu00562	Inositol phosphate metabolism
C04549	mmu00562	Inositol phosphate metabolism
C04563	mmu00562	Inositol phosphate metabolism
C04579	mmu00562	Inositol phosphate metabolism
C04637	mmu00562	Inositol phosphate metabolism
C05981	mmu00562	Inositol phosphate metabolism
C06153	mmu00562	Inositol phosphate metabolism
