Feature_ID	Term_ID	Term_name
12070	mmu04722	Neurotrophin signaling pathway
12313	mmu04722	Neurotrophin signaling pathway
12314	mmu04722	Neurotrophin signaling pathway
12315	mmu04722	Neurotrophin signaling pathway
12322	mmu04722	Neurotrophin signaling pathway
12323	mmu04722	Neurotrophin signaling pathway
12325	mmu04722	Neurotrophin signaling pathway
12326	mmu04722	Neurotrophin signaling pathway
12540	mmu04722	Neurotrophin signaling pathway
12928	mmu04722	Neurotrophin signaling pathway
12929	mmu04722	Neurotrophin signaling pathway
14103	mmu04722	Neurotrophin signaling pathway
14388	mmu04722	Neurotrophin signaling pathway
14570	mmu04722	Neurotrophin signaling pathway
14784	mmu04722	Neurotrophin signaling pathway
15461	mmu04722	Neurotrophin signaling pathway
16150	mmu04722	Neurotrophin signaling pathway
16179	mmu04722	Neurotrophin signaling pathway
16367	mmu04722	Neurotrophin signaling pathway
16476	mmu04722	Neurotrophin signaling pathway
16653	mmu04722	Neurotrophin signaling pathway
16923	mmu04722	Neurotrophin signaling pathway
170936	mmu04722	Neurotrophin signaling pathway
17164	mmu04722	Neurotrophin signaling pathway
17179	mmu04722	Neurotrophin signaling pathway
18033	mmu04722	Neurotrophin signaling pathway
18035	mmu04722	Neurotrophin signaling pathway
18036	mmu04722	Neurotrophin signaling pathway
18037	mmu04722	Neurotrophin signaling pathway
18049	mmu04722	Neurotrophin signaling pathway
18053	mmu04722	Neurotrophin signaling pathway
18176	mmu04722	Neurotrophin signaling pathway
18205	mmu04722	Neurotrophin signaling pathway
18211	mmu04722	Neurotrophin signaling pathway
18212	mmu04722	Neurotrophin signaling pathway
18213	mmu04722	Neurotrophin signaling pathway
18607	mmu04722	Neurotrophin signaling pathway
18706	mmu04722	Neurotrophin signaling pathway
18707	mmu04722	Neurotrophin signaling pathway
18708	mmu04722	Neurotrophin signaling pathway
18709	mmu04722	Neurotrophin signaling pathway
18710	mmu04722	Neurotrophin signaling pathway
18753	mmu04722	Neurotrophin signaling pathway
18803	mmu04722	Neurotrophin signaling pathway
19094	mmu04722	Neurotrophin signaling pathway
19164	mmu04722	Neurotrophin signaling pathway
19165	mmu04722	Neurotrophin signaling pathway
19247	mmu04722	Neurotrophin signaling pathway
192656	mmu04722	Neurotrophin signaling pathway
192662	mmu04722	Neurotrophin signaling pathway
19353	mmu04722	Neurotrophin signaling pathway
19697	mmu04722	Neurotrophin signaling pathway
20111	mmu04722	Neurotrophin signaling pathway
20112	mmu04722	Neurotrophin signaling pathway
20399	mmu04722	Neurotrophin signaling pathway
20416	mmu04722	Neurotrophin signaling pathway
20418	mmu04722	Neurotrophin signaling pathway
20661	mmu04722	Neurotrophin signaling pathway
20662	mmu04722	Neurotrophin signaling pathway
20663	mmu04722	Neurotrophin signaling pathway
215449	mmu04722	Neurotrophin signaling pathway
216148	mmu04722	Neurotrophin signaling pathway
22034	mmu04722	Neurotrophin signaling pathway
22059	mmu04722	Neurotrophin signaling pathway
22062	mmu04722	Neurotrophin signaling pathway
22627	mmu04722	Neurotrophin signaling pathway
234779	mmu04722	Neurotrophin signaling pathway
23797	mmu04722	Neurotrophin signaling pathway
23921	mmu04722	Neurotrophin signaling pathway
23938	mmu04722	Neurotrophin signaling pathway
23939	mmu04722	Neurotrophin signaling pathway
26395	mmu04722	Neurotrophin signaling pathway
26396	mmu04722	Neurotrophin signaling pathway
26400	mmu04722	Neurotrophin signaling pathway
26401	mmu04722	Neurotrophin signaling pathway
26406	mmu04722	Neurotrophin signaling pathway
26408	mmu04722	Neurotrophin signaling pathway
26413	mmu04722	Neurotrophin signaling pathway
26414	mmu04722	Neurotrophin signaling pathway
26415	mmu04722	Neurotrophin signaling pathway
26416	mmu04722	Neurotrophin signaling pathway
26417	mmu04722	Neurotrophin signaling pathway
26419	mmu04722	Neurotrophin signaling pathway
26420	mmu04722	Neurotrophin signaling pathway
266632	mmu04722	Neurotrophin signaling pathway
271849	mmu04722	Neurotrophin signaling pathway
29857	mmu04722	Neurotrophin signaling pathway
327826	mmu04722	Neurotrophin signaling pathway
494124	mmu04722	Neurotrophin signaling pathway
56484	mmu04722	Neurotrophin signaling pathway
56637	mmu04722	Neurotrophin signaling pathway
65020	mmu04722	Neurotrophin signaling pathway
67071	mmu04722	Neurotrophin signaling pathway
67653	mmu04722	Neurotrophin signaling pathway
70405	mmu04722	Neurotrophin signaling pathway
72843	mmu04722	Neurotrophin signaling pathway
73086	mmu04722	Neurotrophin signaling pathway
73914	mmu04722	Neurotrophin signaling pathway
74769	mmu04722	Neurotrophin signaling pathway
